"partyid","age","sex","race","degree","attend"
"Republican",32,"2","1","2","0"
"Democrat",40,"2","1","1","7"
"Republican",25,"2","3","3","5"
"Republican",26,"2","1","3","0"
"Democrat",33,"1","1","2","0"
"Republican",40,"2","1","1","8"
"Republican",32,"1","3","4","7"
"Republican",50,"2","1","1","8"
"Republican",70,"2","1","0","7"
"Republican",73,"2","1","2","5"
"Republican",53,"2","1","3","6"
"Republican",72,"2","1","2","8"
"Republican",66,"1","1","2","0"
"Republican",26,"2","1","3","7"
"Democrat",56,"1","2","1","7"
"Republican",27,"2","1","2","4"
"Democrat",43,"2","1","3","7"
"Republican",82,"2","1","0","8"
"Republican",51,"2","1","3","7"
"Democrat",63,"2","1","0","7"
"Republican",43,"2","1","3","8"
"Republican",38,"2","2","1","6"
"Democrat",41,"2","1","0","7"
"Republican",23,"2","1","1","7"
"Democrat",77,"1","1","1","0"
"Republican",49,"1","1","0","0"
"Republican",36,"1","1","2","7"
"Republican",67,"1","1","0","3"
"Republican",43,"2","1","1","3"
"Republican",58,"2","1","1","8"
"Democrat",35,"2","2","1","8"
"Republican",54,"2","1","1","7"
"Democrat",73,"2","2","2","7"
"Democrat",62,"1","1","3","6"
"Republican",83,"2","1","3","8"
"Democrat",56,"1","1","1","2"
"Republican",61,"2","1","1","7"
"Republican",75,"2","1","4","8"
"Democrat",73,"1","1","1","0"
"Republican",68,"1","1","2","0"
"Republican",69,"1","1","3","7"
"Republican",52,"2","1","1","5"
"Democrat",39,"1","2","0","0"
"Republican",63,"2","1","3","7"
"Republican",29,"1","2","1","4"
"Republican",19,"2","2","0","4"
"Republican",38,"2","1","1","0"
"Republican",28,"1","1","1","1"
"Republican",41,"2","1","1","2"
"Republican",24,"1","1","3","4"
"Democrat",58,"2","2","1","8"
"Republican",55,"2","1","1","2"
"Republican",41,"2","1","1","7"
"Democrat",41,"2","1","2","5"
"Republican",39,"1","1","0","2"
"Republican",29,"1","1","1","5"
"Republican",60,"2","1","2","0"
"Republican",60,"1","1","1","3"
"Republican",53,"1","1","3","5"
"Democrat",37,"2","2","1","5"
"Republican",60,"2","1","2","2"
"Democrat",46,"2","1","1","1"
"Democrat",26,"1","1","0","0"
"Republican",31,"1","1","3","5"
"Democrat",67,"2","1","1","5"
"Republican",88,"1","1","3","0"
"Democrat",40,"2","1","1","2"
"Democrat",70,"2","1","3","7"
"Republican",65,"1","1","1","0"
"Democrat",31,"1","2","1","2"
"Republican",71,"2","1","1","5"
"Democrat",52,"2","1","2","7"
"Republican",63,"2","1","1","7"
"Republican",70,"2","1","4","3"
"Republican",84,"1","1","3","7"
"Republican",30,"1","1","1","8"
"Democrat",61,"2","1","1","2"
"Republican",31,"2","1","2","8"
"Republican",21,"1","1","1","0"
"Republican",28,"2","1","1","3"
"Republican",35,"1","1","3","7"
"Republican",52,"1","1","3","3"
"Republican",64,"1","1","1","5"
"Democrat",41,"2","2","4","5"
"Republican",81,"2","1","0","7"
"Democrat",52,"1","1","1","5"
"Republican",62,"2","1","1","7"
"Republican",46,"1","1","1","7"
"Republican",27,"1","1","1","0"
"Republican",43,"1","1","3","3"
"Republican",48,"2","1","1","2"
"Republican",55,"1","1","4","6"
"Republican",19,"1","1","0","5"
"Democrat",59,"2","1","1","7"
"Democrat",37,"2","2","4","8"
"Democrat",47,"2","2","4","7"
"Democrat",21,"1","1","1","0"
"Republican",57,"1","1","1","0"
"Republican",37,"1","3","4","3"
"Democrat",37,"1","2","1","7"
"Democrat",63,"1","2","1","7"
